play_id,game_id,yardline_100,down,ydstogo,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,epa,pass_attempt,touchdown,complete_pass,rusher,receiver,offense_formation,offense_personnel,route,defense_coverage_type,involved_player_position
55,2021_01_ARI_TEN,75.0,1.0,10,-3.0,,,,,left,tackle,-1.399805107,0.0,0.0,0.0,D.Henry,,SINGLEBACK,"1 RB, 2 TE, 2 WR",,,RB
76,2021_01_ARI_TEN,78.0,2.0,13,3.0,short,middle,2.0,1.0,,,0.032412356,1.0,0.0,1.0,,D.Henry,SHOTGUN,"1 RB, 2 TE, 2 WR",ANGLE,COVER_6,RB
100,2021_01_ARI_TEN,75.0,3.0,10,0.0,short,right,10.0,,,,-1.532897668,1.0,0.0,0.0,,C.Rogers,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH,COVER_6,WR
152,2021_01_ARI_TEN,61.0,1.0,10,38.0,deep,left,29.0,9.0,,,2.692890160600655,1.0,0.0,1.0,,D.Hopkins,SHOTGUN,"1 RB, 2 TE, 2 WR",GO,COVER_3,WR
218,2021_01_ARI_TEN,31.0,1.0,18,1.0,short,left,-4.0,5.0,,,-0.511089988,1.0,0.0,1.0,,C.Edmonds,SHOTGUN,"1 RB, 2 TE, 2 WR",FLAT,COVER_3,RB
253,2021_01_ARI_TEN,30.0,2.0,17,21.0,deep,right,20.0,1.0,,,2.182014848,1.0,0.0,1.0,,A.Green,EMPTY,"1 RB, 1 TE, 3 WR",GO,COVER_4,WR
282,2021_01_ARI_TEN,9.0,1.0,9,0.0,,,,,middle,,-0.579939476,0.0,0.0,0.0,C.Edmonds,,SHOTGUN,"1 RB, 1 TE, 3 WR",,,RB
386,2021_01_ARI_TEN,24.0,2.0,24,8.0,short,middle,4.0,4.0,,,-0.214038722,1.0,0.0,1.0,,C.Kirk,EMPTY,"1 RB, 1 TE, 3 WR",IN,COVER_4,WR
410,2021_01_ARI_TEN,16.0,3.0,16,0.0,deep,right,16.0,,,,-0.211301869,1.0,0.0,0.0,,R.Moore,SHOTGUN,"1 RB, 0 TE, 4 WR",GO,COVER_1,WR
473,2021_01_ARI_TEN,80.0,1.0,10,-1.0,,,,,middle,,-0.948031954,0.0,0.0,0.0,D.Henry,,SINGLEBACK,"1 RB, 1 TE, 3 WR",,,RB
599,2021_01_ARI_TEN,5.0,1.0,5,0.0,short,right,5.0,,,,-0.448300893,1.0,0.0,0.0,,A.Green,SHOTGUN,"1 RB, 2 TE, 2 WR",GO,COVER_0,WR
621,2021_01_ARI_TEN,5.0,2.0,5,0.0,short,right,5.0,,,,-0.881277125,1.0,0.0,0.0,,D.Harris,SHOTGUN,"1 RB, 2 TE, 2 WR",OUT,COVER_1,WR
660,2021_01_ARI_TEN,5.0,3.0,5,5.0,short,right,5.0,0.0,,,2.691886954009533,1.0,1.0,1.0,,D.Hopkins,SHOTGUN,"1 RB, 1 TE, 3 WR",IN,COVER_0,WR
