team,deep_pass,mid_pass,short_pass,screen_pass,inside_run,outside_run
WAS,1222.24,1253.84,1162.88,1058.32,1198.96,1161.52
ARI,1093.36,1215.28,1230.48,1028.08,1117.84,1222.0
BUF,1179.04,1388.8,1270.64,1106.4,1224.72,1175.52
NYJ,1105.84,1174.4,1097.36,1054.48,1123.84,1090.72
ATL,1193.92,1234.16,1166.16,1108.24,1151.44,1082.32
CAR,1115.68,1187.04,1159.68,1016.8,1083.76,1091.2
CIN,1152.64,1400.0,1227.2,1092.88,1106.32,1069.36
CLE,1145.2,1181.76,1120.0,1027.36,1099.12,1100.8
NYG,1226.08,1137.36,1172.96,1032.88,1090.0,1121.76
DAL,1316.0,1336.24,1268.08,1117.28,1126.16,1206.72
DET,1356.0,1400.0,1237.28,1067.44,1149.36,1276.96
KC,1195.36,1334.64,1211.84,1123.2,1113.76,1067.44
CHI,1197.04,1229.84,1239.04,1024.96,1100.08,1113.2
GB,1289.6,1297.52,1281.44,1087.84,1159.52,1196.56
BAL,1264.0,1340.08,1308.16,1036.72,1164.56,1207.28
HOU,1307.2,1217.04,1223.36,1073.44,1080.16,1123.52
IND,1197.04,1309.28,1157.76,1077.04,1094.8,1207.52
JAX,1245.28,1257.12,1221.12,1060.72,1061.44,1103.68
SEA,1298.4,1307.2,1242.32,1041.04,1123.84,1100.8
LA,1284.0,1234.88,1234.24,1087.36,1124.72,1172.88
LV,1170.72,1169.76,1244.4,1035.28,1071.76,1136.56
DEN,1224.4,1334.48,1237.04,1069.12,1145.12,1093.36
MIA,1361.6,1400.0,1152.8,1085.2,1169.76,1222.64
LAC,1240.0,1299.04,1191.28,1055.44,1087.84,1090.0
PHI,1213.6,1372.72,1191.92,1075.6,1159.92,1168.08
NE,1109.2,1213.68,1088.64,1066.72,1110.56,1156.64
PIT,1172.56,1205.84,1200.56,1027.84,1120.08,1132.24
SF,1362.4,1384.0,1304.4,1122.4,1209.84,1236.4
MIN,1352.8,1280.88,1169.52,1045.6,1095.04,1119.92
TB,1267.2,1219.28,1287.76,1073.68,1072.24,1181.52
NO,1254.32,1379.2,1186.48,1051.12,1134.0,1120.16
TEN,1161.28,1302.0,1171.76,1110.88,1111.12,1221.36
