team,deep_pass,mid_pass,short_pass,screen_pass,inside_run,outside_run
TEN,1179.52,1323.92,1250.32,1091.92,1122.88,1146.64
ARI,1292.8,1339.28,1212.56,1151.92,1128.4,1170.24
LV,1276.0,1299.52,1250.88,1056.4,1133.52,1100.08
BAL,1202.8,1355.36,1236.0,1034.32,1178.16,1225.36
CHI,1207.04,1184.8,1153.92,1086.88,1090.48,1185.12
LA,1281.6,1400.0,1258.8,1074.88,1108.88,1161.12
CLE,1192.24,1152.0,1216.8,1287.12,1134.0,1255.52
KC,1240.0,1318.48,1334.24,1260.72,1214.08,1114.0
TB,1288.8,1254.0,1272.72,1151.44,1147.44,1280.8
DAL,1276.0,1311.76,1279.12,1118.32,1151.92,1274.32
NYG,1161.76,1173.84,1077.04,1062.4,1087.36,1111.36
DEN,1176.16,1383.68,1203.52,1107.04,1083.28,1102.4
NO,1199.44,1255.04,1165.04,1085.44,1082.32,1115.92
GB,1232.32,1360.56,1285.36,1159.44,1225.36,1255.68
HOU,1206.32,1244.96,1154.56,1047.28,1090.0,1066.0
JAX,1126.24,1218.88,1171.44,1087.04,1124.8,1256.4
LAC,1312.8,1261.04,1284.08,1039.36,1178.16,1135.36
WAS,1164.88,1357.28,1176.24,1064.56,1133.12,1210.16
NE,1208.72,1330.4,1250.16,1122.64,1217.04,1273.84
MIA,1201.44,1303.04,1212.0,1051.6,1067.92,1276.0
MIN,1280.0,1368.0,1141.68,1082.8,1077.52,1097.68
CIN,1305.6,1400.0,1242.4,1070.32,1111.04,1126.96
NYJ,1118.88,1187.12,1174.72,1097.6,1097.36,1204.24
CAR,1071.28,1153.52,1171.36,1028.32,1084.0,1226.8
ATL,1195.84,1389.44,1159.84,1019.2,1057.84,1104.88
PHI,1251.04,1223.04,1149.2,1112.56,1216.56,1196.4
BUF,1292.8,1337.36,1230.72,1094.56,1223.84,1217.44
PIT,1111.12,1233.76,1174.56,1050.88,1101.76,1157.04
IND,1228.64,1302.8,1209.44,1060.24,1245.76,1313.2
SEA,1247.2,1346.48,1221.92,1026.4,1091.2,1122.72
DET,1175.2,1372.96,1214.64,1079.44,1124.88,1066.48
SF,1199.36,1396.8,1222.24,1163.2,1094.24,1178.56
